rank,word,definition,level
479,according,"依照,给予( accord的现在分词 ),使和谐一致,使符合,使适合",1
480,decision,"决定,果断,决议,（法院的）判决,[口语][拳击]靠判定击败（对手）",1
481,explain,"讲解，解释,说明…的原因，辩解,说明，解释，辩解",1
482,son,"儿子,孩子,男性后裔,圣子（耶稣基督）",1
483,hope,"希望，期望,希望的东西,被寄予希望的人或事物、情况,抱有希望的理由,[俚语]相信，认为,希望，盼望，期待",1
485,develop,"发展,生长,形成,发达,开发,研制,冲洗（胶片）",1
486,view,"看法,风景,视域,[建筑学]视图,看,看待",1
487,relationship,"关系,联系,浪漫关系,血缘关系",1
488,carry,"支撑,携带,输送,运载,运送,搬运,具有,（文学、戏剧等）对读者,扔（或踢）到…距离,（马等）具有某种姿势,传得很远,（枪炮、火箭等的）射程,运输，运送",1
489,town,"城镇，市镇,小村庄,城镇居民,商业中心",1
490,road,"路,通路,途径,方法,在…设置路障,（狗）沿臭迹追逐（猎物）,（狗）闻着臭迹追",1
491,drive,"驾驶,开车,驱动,迫使,驱车旅行,驱动力,车道,驱动器",1
492,arm,"臂,武器,[复数]战事,权力,准备（斗争），准备行动（against）,装备（防御工事）,准备（攻击或迎击）,配备,防护",1
493,true,"真正的,真实的,忠实的,正确的,真正地,确实地,正确地,正当地,真理，真实,正，准，精确,摆正,决定（某物）的位置以使其平衡、平稳或水平",1
494,federal,"联邦（制）的,同盟的,联邦主义者,同盟盟友",1
495,break,"（使）破,打破（纪录）,（常指好天气）突变,开始,（嗓音）突变,突破,破晓,（价格）突然下跌,破裂,中间休息,间断,短假",1
497,difference,"差别，差异,[数]差数，差额,意见分歧,特色,辨别，区分",1
498,thank,"谢谢，感谢,责怪，把…归于,感谢，谢谢，道谢的话",1
499,receive,"收到,接到,接纳,接待,接收,受理,欢迎,承受,接到，获得,接见，欢迎,[电子学] 接收,[橄榄球] 接球",1
500,value,"价值，价格,意义，涵义,重要性,（邮票的）面值,评价,重视，看重,估价，给…定价",1
501,international,"国际的,两国（或以上）国家的,超越国界的,国际关系的,国际组织,国际体育比赛,外国居留者,国际股票",1
502,building,"建筑物,楼房,房屋,建筑（艺术或行业）,build的现在分词",1
503,action,"行动，活动,功能，作用,手段,[法]诉讼",1
504,full,"满的，装满的,完全的，完整的,丰富的,详尽的,极其，十分,充分地，完全地,整整,直接地,充分，完全,全部,完整,极盛时,把衣服缝得宽大,把裙子缝出皱褶,[印]蒸洗，漂洗",1
505,model,"模型,模特儿,模式,典型,做模特儿,模仿,制作模型，塑造,将…做成模型,典型的，模范的",1
506,join,"连接,联结,加入,参加,结合,参与,上（火车、飞机等）,上（路）,接合处,接合点",1
507,season,"季节，季,时期,活动期，时令,暂时,使适应，使适用,调味,使变干燥",1
508,society,"社会,上流社会,社团,社群,上流社会的，社交界的",1
510,tax,"使负重担,消耗精力,向…征税,责备，谴责,税，税额,负担",1
511,director,"主管，主任,董事，理事,负责人，监督者,导演",1
513,position,"位置，方位,地位，职位,态度,状态,安置,把…放在适当位置,给…定位,驻扎军队",1
514,player,"演员,[体]运动员,[音]演奏者,播放机",1
515,agree,"同意，赞同,[语]一致，符合,商定，约定,意见相合,（气候、食物等）适宜,同意，承认,使和谐一致,认为正确无误",1
516,especially,"尤其地,主要地，格外地,显著地,异常地",1
517,record,"记录，记载,档案，履历,唱片,最高纪录",1
518,pick,"挑选，挑拣,挖，采，摘，剔，扒,挑剔,选择,收获,精华",1
519,wear,"穿着，戴着,面露,留着（胡须等）,磨损,耐用,保持不变,磨损，耗损,逐渐或枯燥地通过,穿着,穿戴物，衣物,磨损，穿旧,耐用性",1
520,paper,"纸,文件,论文,文章,贴纸,包装，用纸覆盖,贴壁纸,提供纸张,[俚语] 提供免费入场券,贴糊墙纸,发交通违章传票,纸制的,似纸的,有名无实的",1
521,special,"特殊的,专门的,专用的,重要的,专车,特价,特刊,特约稿",1
522,space,"空间，太空,空白，间隔,空隙,片刻,把…分隔开，留间隔于…之间,以一定间隔排列",1
523,ground,"地面，土地,基础,范围,阵地，战场,搁浅，停飞,着陆,把…放在地上,在…的基础树立上,交给…基本知识,使…受初步训练,grind的过去式和过去分词",1
524,form,"形状，形式,外形,方式,表格,形成,构成,组织,塑造,形成，产生,排队，整队",1
525,support,"支持,帮助,支撑,维持,支持者,[数学]支集,支撑物",1
526,event,"事件，大事,活动，经历,结果,运动项目",1
527,official,"行政官员,公务员,[体]裁判,高级职员,官方的，法定的,公职的，公务的,官气十足,正式的",1
528,whose,"谁的,那个人的，那些人的,他的，他们的",1
529,matter,"事件,（讨论、考虑等的）问题,重要性,物质,要紧，重要,化脓,有重大影响,有重要性",1
530,everyone,每人，人人,1
531,center,"中心,（球队的） 中锋,中心区,中枢,中央的，位于正中的,（在）中心的,集中,使聚集在一点,定中心,居中,居中，有中心，被置于中心",1
532,couple,"对，双,配偶，夫妻,<口>几个，两三个,连在一起，连接,成双，结婚,性交，交配",1
533,site,"地点，位置，场所,[计算机]网站,遗址,地皮,使坐落在,安放，设置,给…造址,为…提供场所",1
535,project,"放映,计划,发射,展现，使突出,伸出，突出",1
536,hit,"打，打击,碰撞,击（球）,（在精神上）打击（某人）,猜中,迎合,（演出等）成功,批评，讽刺,（风暴、疾病等）袭击,抨击,（偶然）碰上,（突然）想到（与 on, upon 连用）",1
537,base,"基础,基地,根据,基数（如十进制的10 和二进制的2）,基于,把…建立在,把…放在或设在（基地）,把…置于底座（或基座）上,卑鄙的,低级的,贱的，劣的,庶生的",1
538,activity,"活动,活跃，敏捷,活动力,教育活动",1
539,star,"星,星状物,星级,明星,主演,（在文字等旁）标星号",1
540,table,"表，目录,桌子,手术台，工作台，游戏台,平地层,制表,搁置,嵌合,桌子的",1
542,court,"法院，法庭,院子，天井,宫廷,网球场,招致,设法获得,向…献殷勤,追求,求爱，求婚,寻求",1
543,produce,"生产,产生,制作,创作,制造,出示,引起,[经济学]生利,产品,产量,产额,结果",1
544,eat,"吃，喝,（食物）吃起来感到,咬,（人）感到苦恼（或烦恼）,侵蚀，腐蚀,（如酸）腐蚀,吃完,吃得使,侵蚀成",1
546,teach,"教,教导，训练,教授,教书",1
547,oil,"油,石油,油画,燃油,给…加油,化成油",1
548,half,"一半的，半个的,半,一半,（啤酒等饮料的）半品脱,（比赛、音乐会等的）半场,部份地",1
549,situation,"（人的）情况,局面，形势，处境,位置,[心理学]情境",1
550,easy,"容易的,舒适的,宽裕的,从容的,容易地,不费力地,悠闲地,缓慢地,停止划桨（常用作命令）,向（水手或划手）发出停划命令",1
551,cost,"价钱，代价,花费，费用,牺牲,[用复数][法律]诉讼费,价钱为，花费,估计成本,付出代价,估价,使丧失,使付出努力",1
552,industry,"工业,产业（经济词汇）,工业界,勤劳",1
553,figure,"数字,算术,人物,身材,计算,出现,扮演角色,计算在内,估计,推测,认为",1
555,street,大街，街道,1
556,image,"影像,肖像,概念，意向,镜像，映像,反映,想像,作…的像,象征",1
557,itself,"(it的反身形式),它自己，它本身,自身，本身",1
558,phone,"电话,听筒,（发声或使用声音的）工具,说某种语言的,打电话（给某人）",1
559,either,"（两者之中）任何一个,（两者中）任一的,非此即彼的，两者择一的,（否定句中）也,[用于否定句或否定词组后]也（不…），亦，而且,[口语] [用于否定句或否定词组后以加强语气]根本,当然,[通常用于“either…or…”结构中]或者，要么[在“either…or…”结构中，动词的人称和数一般与离得最近的主动响应，但有时用第三人称单数，在口语中也有把两个主语合在一起用作复数的]",1
560,data,"资料，材料,datum的复数,[计算机]数据，资料,从科学实验中提取的价值",1
561,cover,"遮盖,掩蔽,涉及,洒上,覆盖物,避难所,掩护,封面",1
562,quite,"相当，很,非常,确实如此",1
563,picture,"照片，画像,图画，图片,影片,情景,构想，想象,描绘，画,描述",1
564,clear,"清楚的，明白的,清晰的，明亮的,清澈的,明确的,完全地,清晰地,整整,变明朗,变清澈,扫除，除去,消除（嫌疑）,使清楚,使干净,空隙，空间",1
565,practice,"练习,实践,（医生或律师的）业务,惯例,实行,惯常地进行,实习,实行，实践,执业",1
566,piece,"块，片，段,部分，部件,文章，音乐作品,修补,连接，接上",1
567,land,"陆地,国家,地产,土地,（使）登岸,降临,使陷于（困境）,使不得不应付,自船上卸下,获得,捕到,钓到（鱼）,跳落，跌落，被抛落（地面）",1
568,recent,"最近的,新近的,近代的,[地]全新世的",1
569,describe,"描写，形容,叙述,描绘，作图,（行星等）周转",1
570,product,"产品,结果,乘积,作品",1
571,doctor,"医生，大夫,博士,神学家,医疗设备,医疗，行医,修理，装配,假造,搀杂,修改，修饰",1
572,wall,"墙,屏障,隔阂,壁垒,筑墙围住，用墙隔开,围以墙,墙壁的",1
573,patient,"有耐性的,能容忍的,患者,病人,病号",1
574,worker,"工人，员工,劳动者,[虫]工蜂，工蚁",1
575,news,"新闻,消息,（可当作新闻内容的）人,物",1
576,test,"试验,考验,测验,化验,考查,勘探,受试验,受测验,受考验,测得结果",1
577,movie,"电影,电影院,电影业",1
578,certain,"某一,必然的,已确定的,[动词用复数]某些",1
579,north,"北方,北部,（美国南北战争时与南方作战的）北部各州,北方发达国家（尤指欧洲和北美各国）,北方的,北部的,朝北的,（风，光线）来自北方的,在北方,自北地,向北方",1
581,personal,"个人的，私人的,身体的,亲自的,人身攻击的,（报刊上的）人事栏，分类人事广告版,人称代名词,关于个人的简讯",1
584,simply,"简单地，朴素地,（引出概括或解释）不过，仅仅,简直,<非正>实在",1
585,third,"第三,三分之一,第三档,第三的,三分之一的",1
586,technology,"科技（总称）,工业技术,工艺学,[总称]术语",1
587,catch,"赶上,接住,引起,看见,（使）被钩住，（使）被卡住,抓,隐情,捕获量,挂钩,锁住,着火,[棒球]当接球手,迷惑人的,令人容易上当的,引人注目的,令人感兴趣的",1
588,step,"步，脚步,步骤，手段,步调,级别,举步，行走,踩，踏上,跨入,轻快地走,踏，踩,走,跳舞,迈步,使成阶梯状",1
589,baby,"婴儿,婴孩,幼崽,宝贝儿,把…当作婴孩看待，娇养,纵容,小孩似的,孩子的,小型的",1
590,computer,（电子）计算机，电脑,1
591,type,"类型,铅字,（印刷或打印的）文字,于…类型的,打字,[医学]测定（血型）,按类型把…归类,成为…的典型,[印刷]浇铸（铅字等）",1
592,attention,"注意，注意力,照料，关怀,殷勤,[口令]立正",1
593,draw,"绘画,拖，拉,招致,吸引,画,拉,移动,拔出剑,皱缩,汲取,平局,抽奖",1
594,film,"影片,电影,胶片,薄层,（把…）拍摄（成）电影[电视等],上镜头,（给…）覆上一薄层,生薄膜,变得朦胧",1
595,republican,"共和国的,共和政体的,共和主义的,<美>共和党员,拥护共和政体者，共和主义者,<美>共和党的",1
596,tree,"树,木料,树状图,宗谱,把…赶上树,使处于困境,把鞋型插入（鞋内）",1
597,source,"根源，本源,源头，水源,原因,提供消息的人,（从…）获得,发起,向…提供消息,寻求（尤指供货）的来源,原料来源,起源,寻求来源,寻求生产商（或提供商）",1
598,red,"红色的,（脸）涨红的,烧红的,红头发的,红色,红衣服,红颜料,红葡萄酒",1
599,nearly,"几乎，差不多,险乎",1
600,organization,"组织,机构,团体,有组织的",1
601,choose,"挑选,认为…比其它更可取,决定或选定,选择,进行挑选",1
602,cause,"原因,动机,理由,事业,成为…的原因,导致,引起,使遭受",1
603,hair,"头发，毛发,（动、植物的）毛,一丝丝，些微,毛发织物",1
606,century,"百年，一世纪,百个,（板球）一百分,<美>百元钞票",1
607,evidence,"证词,证据,迹象,明显,使明显,显示,表明,证实",1
608,window,"窗，窗户,窗口,〈美俚〉眼镜",1
609,difficult,"困难的,难做的,难解的,不易相处的",1
610,listen,"倾听,留心听,听信,（让对方注意）听着,听，倾听",1
611,soon,"立刻，马上,一会儿，不久,快,宁愿",1
612,culture,"文化,[生物学]（微生物等的）培养,修养,养殖,培植，培养",1
613,billion,"十亿,数以十亿计,大量,一万亿,（法美）十亿的,（英德）万亿的,无数的",1
614,chance,"机会，机遇,概率，可能性,偶然，运气,偶然发生,冒险,碰巧,偶然被发现,意外的,偶然的,碰巧的",1
615,brother,"兄弟,同事，同胞,同志,（表示生气或吃惊）我的老兄！",1
616,energy,"[物]能量,活力,精力,精神",1
617,period,"时期,（一段）时间,学时,句号,具有某个时代特征的,（关于）过去某一特定历史时期的,（家具、服饰、建筑等）某一时代的",1
619,summer,"夏，夏天,全盛时期，黄金时代，壮年时期,[建]大梁，檀条，楣，柱顶石,岁数,夏季的,度过夏季，避暑,使度过夏季，夏季放牧（家畜）",1
621,realize,"实现,了解，意识到,（所担心的事）发生,以…价格卖出,变卖，赚得",1
622,hundred,"一百,许多,100 到 999 间的数目,某个世纪的年代,一百的,许多的",1
623,available,"可获得的,有空的,可购得的,能找到的",1
624,plant,"植物，草木,设备,工厂,庄稼,种植,安，插,建设，布置,移民于",1
625,likely,"可能的,适合的,有希望的,可能,或许,大概,多半",1
626,opportunity,"机会,适当的时机良机,有利的环境，条件",1
627,term,"学期,条款,术语,期限,把…称为,把…叫做",1
628,short,"短的，短暂的,矮的,短缺的,短期的,突然,唐突地,简短地,横贯地,短裤,短路,缺乏,故意少给…的零头，骗取",1
629,letter,"信,证书，许可证,字母，文字,字面意义,用字母标明,写字母于,加标题,写印刷体字母",1
630,condition,"状态,环境,健康状况,条款,制约,限制,使习惯于,使适应,对…具有重要影响,影响（某事发生的方式）,保持（头发或皮肤等的）健康,养护",1
631,choice,"选择,选择权,精选品,入选者,上等的，精选的",1
633,single,"单一的,（打斗、比赛等）一对一的,惟一的,适于一人的,单程票,（旅馆等的）单人房间,[复数]（高尔夫球一对一的）二人对抗赛,[常用复数][美国、加拿大英语]未婚（或单身）男子（或女子）,挑选,作一垒手",1
634,rule,"规则，规定,统治，支配,章程,控制，支配,判定,裁定，裁决,价格稳定,统治,规定,管理,裁决,管辖,裁定",1
635,daughter,"女儿,产物，后代,（某地的）妇女,[生]子代,女儿般的,[生]第一代的,子代的",1
636,administration,"管理,实行,（政府）行政机关,（法律、处罚等的）施行",1
637,south,"南方,南部,美国南方各州,（南半球的）发展中国家,南的,（风）来自南方的,南风的,南方吹来的,向南方，在南方",1
638,husband,"丈夫,〈英〉管家,〈古〉节俭的管理人,船舶管理人,节俭地使用,〈罕〉做…的丈夫",1
639,congress,[]  [],1
640,floor,"地面，地板,楼层,底部,议员席,铺地板,击败，打倒",1
641,campaign,"运动,竞选运动,战役,季节性竞赛,参加[发起]运动，参加竞选,参战，参加战役,作战",1
642,material,"材料，原料,素材,布，织物,适当人选,物质的,肉体的,重要的，决定性的,辩证的，推论的",1
643,population,"人口,全体居民,特定[生物]种群,[物]布居",1
646,economy,"节约,经济,理财,秩序",1
647,medical,"医学的,医药的,医疗的,内科的,体格检查",1
648,hospital,"医院,收容所,养老院,〈古〉旅客招待所",1
649,church,"[宗]教堂,[宗]教徒,[宗]教派,[宗]教会,教会的,礼拜的,领…到教堂接受宗教仪式",1
650,close,"紧密的,亲密的,亲近的,关,结束,使靠近,关闭,紧密地",1
651,thousand,"一千,数千,许许多多,千位数,一千的,一千个的,成千的,许许多多的",1
652,risk,"危险，冒险,保险额,被保险人或物,冒…的危险,使…冒风险（或面临危险）",1
653,current,"现在的,最近的,流行的,流传的,趋势,电流,水流,涌流",1
654,fire,"火，燃烧物,火灾,射击，发射,热情,开火，射击,燃烧,引爆炸药,充满热情,<口>解雇,射（箭）,激励,射出（子弹）",1
655,future,"将来的，未来的,[语法学]将来时的,前途,[美国俚语]未婚妻,期货",1
656,wrong,"有毛病的，失常的,错误的，不正确的,不好的，不公正的,反对的，相反的，颠倒的，背面的，里面的,不对，错误，失当,不好，不公正,逆，颠倒，翻转,有毛病，不舒服,过失，错误,不义的行为,不义行为,犯罪,委屈，无理地对待，诽谤",1
657,involve,"包含,使参与，牵涉,围绕，缠绕,使专心于",1
658,defense,"(D-)（美国）国防部，防卫，防卫物,谋划抵御",1
659,anyone,"任何人,任何一个,谁",1
660,increase,"增加，增大，增多,增强，增进,[缝纫]放（针）,增强,增进,增殖，繁殖,[缝纫]放针",1
661,security,"安全,保证，担保,保护，防护,有价证券,安全的，保安的，保密的",1
662,bank,"银行,（条形的）堆,（河的）岸,库存,堆积,筑（堤）,将（钱）存入银行,（转弯时）倾斜飞行,（在某银行）开账户，存款,（用煤等）封炉火",1
663,myself,我自己，亲自,1
664,certainly,"无疑,当然,确定,肯定",1
665,west,"西，西部，西方,在西方的,西部的,朝西的,（风）来自西面的,向西，朝西,自西方,向西方",1
666,sport,"体育运动,乐趣,突变,朋友，老兄,得意地穿戴,夸示,故意显示,嬉戏",1
667,board,"板,董事会,甲板,膳食,上（船、车或飞机）,收费供…膳宿,使搭伙，使寄宿,强行登（船）,（火车、轮船、飞机等）接受乘客,搭伙，寄宿",1
668,seek,"寻找，探寻,追求，谋求,往或朝…而去,[废语]考察,查找，查寻,找一找",1
669,per,"由,（表示根据）依照,（表示比率）（尤指数量，价格，时间）每,每次,每个,照常,按惯例,高的，过的，全的",1
670,subject,"主题，话题,学科，科目,[哲]主观,须服从…的,（在君主等）统治下的,提供，提出,使…隶属",1
671,officer,"军官，警官,高级职员,公务员,船长,指挥,统率,管理,配置军官",1
672,private,"私有的，私人的,秘密的,内心的,平民的，无官职的，士兵的,列兵，士兵，[陆]二等兵,〈古〉私人，个人,阴部，生殖器",1
673,rest,"休息,剩余部分,支持物,宁静，安宁,（使）休息,（使）倚靠[支撑],静止,停止,安心,使休息,使轻松,使长眠,使依赖",1
674,behavior,"行为,态度,（机器等的）运转状态,（事物的）反应",1
675,deal,"[牌戏]分,分配,经营,施予,（一笔）交易,许多,待遇,发牌,论述,（有效地或成功地）处理,惩处,交易,冷杉木制的，松木制的",1
676,performance,"表演,演技,表现,执行",1
677,fight,"战斗,斗争,打架,吵架,斗志",1
678,throw,"投掷,丢,抛,投掷的距离,掷（色子）,猛动（头、臂、腿）,使处于，使限于",1
679,top,"顶，顶部,（箱子）盖，（书页等的）上栏,首席,陀螺,最高的,顶上的,头等的,最大的,形成顶部,达到…的顶端,处于…的最前头,领导,总结,超越,高耸,结束",1
680,quickly,"迅速地,立即,马上",1
681,past,"过去的，以前的,结束的,前任的,过去，过往,往事,[语]过去时,超过，超出,远于,越过,经过，超过",1
682,goal,"目标，目的,球门,终点,得分",1
684,bed,"床,苗圃,河床,（地下由黏土、岩石等构成的）地层,把…固定在,（某人）发生性关系,给人铺床,上床,分层",1
685,order,"命令,秩序,规则，制度,次序,订购,整理,下订单",1
686,author,"著作家,作者,创造者,发起人,创作出版",1
687,fill,"（使）充满，（使）装满,满足,配药,（按订单）供应,使充满（感情）,填满…的量,充分,装填物,路堤",1
688,represent,"表现，象征,代表，代理,扮演,作为示范,代表,提出异议",1
689,focus,"（使）集中，（使）聚集,调整（镜头，眼睛）焦点[焦距]以便看清,调整（眼睛或者镜头的）焦距,集中（光束于）,聚焦，注视,集中注意力,焦点,影象的清晰度,（活动、注意力、兴趣等的）中心,[医]病灶，病症",1
690,foreign,"外国的，外交的,外来的,不相干的,[医]异质的",1
691,drop,"（使）落下,投下,（使）降低,减少,放弃,停止,（故意）降下,垂下（眼睛）,滴,空投,降落,少量,（水或其他液体）滴,结束,（因受伤或死等）倒下,退出",1
693,blood,"血，血液,流血，杀戮，杀人（罪），牺牲,有…类型的血的，血统,血气，气质,用血染（皮革等），用血弄湿,使出血，抽…的血,让新人初试做某事，使先取得经验",1
694,upon,"在…上面,当…时候",1
695,agency,"代理,机构,力量",1
696,push,"推，推动,推动，增加,对…施加压力，逼迫,按,说服,推，决心,大规模攻势,矢志的追求,推进,增加,努力争取",1
697,nature,"自然,天性,天理,类型",1
698,color,"<美>颜色，色彩,肤色，脸色，血色,颜料，染料,本质,<美>给…涂颜色,改变…的颜色,粉饰，渲染，使带上色彩,脸红",1
700,recently,"最近，近来,不久以前,近日,新近",1
701,store,"商店,贮存物,仓库,大量,贮存,（在计算机里）存储",1
702,reduce,"减少,缩小,使还原,使变弱,节食,蒸发,（液体）浓缩变稠",1
703,sound,"声音，声响,音调，声调,声波,嘈杂声,响，发声,听起来，好像,回响,[音乐]乐器等被奏响,使出声，使发声,清楚地发出,宣布，发表,颂扬,健全的,合理的,完好的，无损的,明智的,彻底地，充分地",1
704,note,"笔记,便笺,音符,钞票,注意,记录,对…加注释,指出",1
705,fine,"好的，上等的,纤细的，精致的,健康的,晴朗的,罚款,[音乐]终止,晴天,地租,澄清,很好地,巧妙地",1
707,near,"（空间）在近处,在附近,（时间）临近,（程度）几乎,（表示程度）接近,（表示位置）靠近,（表示时间）将近,接近于（某种状态）,近的,亲密的,近似,（亲属关系）近亲",1
708,movement,"运动,活动,动作，举动,乐章",1
709,page,"页,（计算机的）页面,年史,<文>重要事件,标记…的页数,翻页,喊出名字以寻找,（在公共传呼系统上）呼叫,翻书页,浏览",1
710,enter,"进入,开始,参加,登记",1
711,share,"股,（参与、得到等的）份,（分享到的或贡献出的）一份,市场占有率,共有,共用,均摊,分配,分开,共同承担,分享，分担(in)",1
713,common,"普通的,通俗的,[数学]公共的,共有的,[法律]（对土地、水域的）共有权,公共用地,普通,平民",1
714,poor,"贫穷的，贫乏的,令人怜悯的，可怜的,匮乏的,低劣的,the poor 贫困者，穷人",1
716,natural,"自然的,物质的,天生的,不做作的,自然的事情,（生来的）白痴,[乐]（风琴等的）白键",1
717,race,"赛跑,竞争,人种,民族,参加比赛,使比赛,快速移动,剧烈跳动",1
718,concern,"涉及，关系到,使关心，使担忧,参与,关心,关系，有关,顾虑,公司或企业",1
719,series,"系列，连续,串联,（广播或电视上题材或角色相同的）系列节目,级数",1
720,significant,"重要的,有意义的,有重大意义的,值得注意的,有意义的事物,象征，标志",1
721,similar,"类似的,同类的,相似的,同样的,类似物,相像的人,相似物",1
722,hot,"热的,辣的,激动的,热门的,使兴奋，使激动,紧迫的,变热",1
723,language,"语言，语言文字,表达能力,言语，语风，文风，文体,专门用语，术语",1
725,usually,"通常，经常，平常，惯常地,一直，向来,动不动，一般,素",1
726,response,"反应,回答，答复,[宗]回应经文，应唱圣歌",1
727,dead,"死去的,完全的,无感觉的,呆板的,完全地,非常,绝对,极度,死者,（死一样的）寂静,极寒时候",1
728,rise,"上升,增强,（数量）增加,休会,（数量或水平的）增加,兴起,（数量、价格、价值等的）增长,（日、月等的）升起,使…浮上水面,使（鸟）飞起,复活,发酵",1
729,animal,"动物，兽，牲畜,<俚>家畜，牲口,<俚>畜生（一般的人）,兽性,动物的,肉体的,肉欲的",1
730,factor,"因素,<数>因子,代理人,把…因素包括进去,[数学]分解…的因子，将…分解成因子,以代理商（或管家等）的身份行事，做代理商（或管家）,做代理商（或管家）",1
731,decade,"十年，十年间,十个一组,十年期",1
732,article,"（报章杂志中的）文章，论文,条款,物品,[语] 冠词,使受协议条款的约束,以协议（或契约）约束,订约将…收为学徒（或徒弟）,定约雇用,进行控告，提出罪状（或指责）(against),签订协议",1
733,shoot,"拍摄,射击,发芽,（用枪等）打猎,给…注射,射门，投篮,幼苗，嫩芽,发射,摄影,狩猎,感叹词（用于表示惊奇，并不强烈的愤怒或失望）",1
734,east,"东，东方,东方国家,〈诗〉东风,东方的，向东方的,从东方来的,向东方（地）",1
735,save,"节省,保存,储蓄,解救,挽救,救球,除…之外,救援，救援",1
736,seven,"七,七个,第七",1
737,artist,"艺术家,画家,能手,骗子",1
739,scene,"场面，现场,（戏剧的）一场,景色，风景,事件",1
740,stock,"股份，股票,库存,树干,家畜,常备的，存货的,陈旧的,提供货物,备有,出新芽,囤积",1
741,career,"生涯,职业,事业,速度，全速,作为毕生职业的,全速前进，猛冲",1
742,despite,"不管,尽管（自己）不愿意,不在乎,虽有,侮辱,憎恨,怨恨,轻蔑的拒绝或不承认",1
743,central,"中央的，中心的,重要的，核心的,电话总局,电话转接员",1
744,eight,"八,八个,第八,八人（或物）一组,八人划船队,八个的",1
745,thus,"于是，因此,如此，这样，像这样，例如,到这程度，到这地步，这么,如下,因此",1
746,treatment,"治疗，疗法,处理,待遇，对待",1
747,beyond,"超过,越过,那一边,在…较远的一边,在远处,在更远处,远处",1
748,happy,"幸福的,快乐的,巧妙的,〈口〉有点醉意的",1
749,exactly,"精确地,确切地,完全地，全然,恰恰",1
750,protect,"保护，保卫,贸易保护,备款以支付",1
751,approach,"接近，走近，靠近,接近,着手处理,使移近,试图贿赂（或影响，疏通）,方法,途径,靠近",1
752,lie,"躺,坐落在,处于…状态,说谎,谎言,谎话,状态,位置",1
753,size,"大小，尺寸,规模,胶料，浆糊,巨大，大量,按大小排列,改变…的大小,上胶料，上浆,上涂料,一定尺寸的",1
754,dog,"狗,蹩脚货,丑女人,卑鄙小人,困扰,跟踪",1
755,fund,"基金,储备,现款,特别基金管理机构,积存,为…提供资金,提供资金偿付（债款等）的本息,把（短期借款）转为有固定利息的长期借款",1
756,serious,"严肃的，严重的,认真的，庄重的,重要的,危险的",1
757,occur,"发生,出现,闪现",1
758,media,"媒体,[解剖学]血管中层,[语音学] 浊塞音,介质,[医]培养基",1
759,ready,"准备好的，现成的,即时的，敏捷的,情愿的,即将的,做好…的准备,预先,已完成地,现款",1
760,sign,"符号,手势,迹象,指示牌,签名,打手势",1
761,thought,"思想,想法,关心,思索,想( think的过去式和过去分词),以为,认为",1
762,list,"清单，目录,倾斜,布边，布头,狭条,列出，列入,把…编列成表,记入名单内,列于表上",1
763,individual,"个人的,独特的,个别的,个人,个体",1
764,simple,"简单的,单纯的,易受骗的,天真的,笨蛋,愚蠢的行为,出身低微者",1
765,quality,"质量，品质,美质，优点,才能，能力，技能，素养,品种,优质的，高质量的,上流社会的",1
766,pressure,"压（力）,压力,气压（或血压）（的缩略形式）,压（迫）感,施加压力,迫使,使（机舱等）增压",1
767,accept,"承认,同意,承兑,接受,承担",1
768,answer,"答复,解答,答辩,适应,回答,答案,反应,足以媲美的人",1
770,resource,"资源,物力，财力,办法,智谋",1
771,identify,"识别，认出,确定,使参与,把…看成一样,认同",1
772,left,"左边的，左侧的,左派的,左，左面,[军]左翼,左派，激进分子,向左,在左边,离开( leave的过去式和过去分词)",1
773,meeting,"会议,聚会,汇合点,运动会,相遇( meet的现在分词),相识,开会,接触（某物）",1
774,determine,"（使）下决心，（使）做出决定,决定，确定,判定，判决,使决定,限定,[主用于法律]了结，终止，结束",1
775,prepare,"准备,预备（饭菜）,配备,使（自己）有准备,筹备，进行各项准备工作,做好思想准备,作出，制订,锻炼（身体等），训练",1
776,disease,"疾病,弊端,不安,传染,使…有病",1
777,whatever,"无论什么,任何（事物）,诸如此类,（表示不在乎，什么都可接受）什么都可以,无论什么…都,无论怎样…都,任何…也",1
778,success,"成功，成就,好成绩，好结果,成功的人（或物）",1
779,argue,"坚决主张,提出理由证明,说服，劝告,表明，证明,争论，辩论,提出理由",1
780,cup,"杯子,一杯（的量）,（胸罩的）罩杯,优胜杯,使（手）窝成杯状,使（双手）成圆状托起,为…拔火罐",1
781,particularly,"特别,尤其,异乎寻常地",1
782,amount,"量，数量,总额,本利之和,全部效果，全部含义,（在意义、价值、效果、程度等方面）等于,等同，接近,合计，总共,发展成为",1
783,ability,"能力，资格,能耐，才能",1
784,staff,"参谋,全体职员,管理人员,权杖,行政工作的,参谋的,职员的,作为正式工作人员的,在…工作,为…配备职员,任职于",1
785,recognize,"认出,识别,承认,承认，确认,[法律]具结，立保证书",1
786,indicate,"表明，标示，指示,象征，暗示，预示,[医]显示需要做…的治疗",1
787,character,"性格,特点,字母,角色,刻，印,使具有特征",1
788,growth,"生长,增长,一茬植株,肿块，肿瘤",1
789,loss,"损失，减少,丢失，遗失,损耗，亏损,失败",1
790,degree,"[乐]音阶，度,[数]度，度数,程度,学位",1
791,wonder,"奇妙的,钦佩的,远超过预期的,惊奇,奇观,奇人,奇迹,对…感到好奇,感到诧异,想弄明白,怀疑，想知道,惊讶",1
